q seq id	s seq id	percent id	length	mismatch	gap open	q start	q end	s start	s end	e-value	bit score 
g1	lcl|NW_015622830.1_prot_XP_016257653.1_11583	100	249	0	0	1	249	79	327	0	519
g100	lcl|NW_015622830.1_prot_XP_016257548.1_11478	100	328	0	0	1	328	79	406	0	685
g1000	lcl|NW_015622819.1_prot_XP_016266970.1_2623	100	444	0	0	1	444	79	522	0	910
g10000	lcl|NW_015622819.1_prot_XP_016267020.1_2673	100	219	0	0	1	219	416	634	7.97E-159	452
g10001	lcl|NW_015622821.1_prot_XP_016263986.1_5330	63.45	342	121	1	1	342	76	413	2.62E-166	469
g10002	lcl|NW_015622819.1_prot_XP_016267019.1_2672	100	502	0	0	1	502	83	584	0	1041
g10003	lcl|NW_015622819.1_prot_XP_016267018.1_2671	100	179	0	0	1	179	79	257	2.61E-137	382
g10004	lcl|NW_015622819.1_prot_XP_016267017.1_2670	100	36	0	0	1	36	79	114	5.62E-21	79.7
g10005	lcl|NW_015622819.1_prot_XP_016267016.1_2669	100	630	0	0	1	630	79	708	0	1313
g10006	lcl|NW_015622819.1_prot_XP_016267015.1_2668	99.485	194	1	0	1	194	79	272	2.81E-146	406
g10007	lcl|NW_015622819.1_prot_XP_016267014.1_2667	100	236	0	0	1	236	79	314	1.89E-178	491
g10008	lcl|NW_015622819.1_prot_XP_016267013.1_2666	100	500	0	0	1	500	79	578	0	1036
g10009	lcl|NW_015622819.1_prot_XP_016267012.1_2665	100	499	0	0	1	499	79	577	0	1019
g1001	lcl|NW_015622819.1_prot_XP_016266969.1_2622	100	453	0	0	1	453	80	532	0	924
g10010	lcl|NW_015622819.1_prot_XP_016267011.1_2664	100	185	0	0	1	185	79	263	5.61E-133	372
g10011	lcl|NW_015622819.1_prot_XP_016267010.1_2663	99.801	503	1	0	1	503	121	623	0	1029
g10012	lcl|NW_015622819.1_prot_XP_016267009.1_2662	100	496	0	0	1	496	142	637	0	1004
g10013	lcl|NW_015622819.1_prot_XP_016267008.1_2661	100	316	0	0	1	316	79	394	0	644
g10014	lcl|NW_015622819.1_prot_XP_016267007.1_2660	97.414	116	3	0	1	116	119	234	3.17E-78	236
g10015	lcl|NW_015622819.1_prot_XP_016266552.1_2205	46.377	483	244	3	1	477	81	554	1.41E-148	437
g10016	lcl|NW_015622819.1_prot_XP_016267005.1_2658	98.039	306	6	0	6	311	66	371	0	602
g10017	lcl|NW_015622819.1_prot_XP_016267004.1_2657	100	334	0	0	1	334	79	412	0	676
g10018	lcl|NW_015622827.1_prot_XP_016258573.1_10316	99.475	381	2	0	1	381	79	459	0	790
g10019	lcl|NW_015622827.1_prot_XP_016258574.1_10317	100	634	0	0	1	634	79	712	0	1341
g1002	lcl|NW_015622819.1_prot_XP_016266968.1_2621	100	747	0	0	1	747	55	801	0	1560
g10020	lcl|NW_015622827.1_prot_XP_016258576.1_10319	100	480	0	0	1	480	79	558	0	998
g10021	lcl|NW_015622827.1_prot_XP_016258577.1_10320	100	1059	0	0	1	1059	79	1137	0	2163
g10022	lcl|NW_015622827.1_prot_XP_016258578.1_10321	99.797	492	1	0	44	535	1	492	0	1030
g10023	lcl|NW_015622827.1_prot_XP_016258579.1_10322	100	514	0	0	1	514	79	592	0	1044
