q seq id	s seq id	percent id	length	mismatch	gap open	q start	q end	s start	s end	e-value	bit score 																																												
1433_CANAL	NODE_8_216030_cov_14.945137	63.942	208	40	2	1	173	69249	68626	1.21E-80	261																																												
A0JC82_9HYPO	NODE_130_83864_cov_14.122944	69.697	132	24	1	1	116	81270	81665	7.07E-76	187																																												
A0ST41_CERNC	NODE_109_93469_cov_14.741060	26.087	368	235	11	31	374	79304	78240	7.99E-30	122																																												
A0ST42_CERNC	NODE_124_86260_cov_14.400137	37.903	496	260	9	2	452	12684	14162	2.13E-93	309																																												
A0ST43_CERNC	NODE_273_47200_cov_15.921080	51.515	66	32	0	68	133	18605	18802	1.59E-11	66.6																																												
A0ST44_CERNC	NODE_304_41868_cov_12.907597	36.042	283	167	5	3	284	24220	23411	5.57E-54	189																																												
A0ST45_CERNC	NODE_389_29864_cov_12.861822	31.865	386	209	10	5	383	14328	15344	1.34E-46	171																																												
A0SXQ6_MAGGR	NODE_118_89013_cov_14.538116	58.025	81	26	2	34	114	76032	75814	2.22E-30	91.3																																												
A0ZT55_GLOAC	NODE_87_107269_cov_14.673125	75.556	225	53	1	146	368	25677	26351	9.73E-164	370																																												
A0ZT90_9PEZI	NODE_87_107269_cov_14.673125	76.963	191	42	1	1	189	25716	26288	5.84E-102	322																																												
A1EC58_EXODE	NODE_371_31933_cov_13.923442	94.308	1704	96	1	49	1752	1029	6137	0	3231																																												
A3F9N0_HANAN	NODE_157_75655_cov_15.424637	58.983	295	117	3	11	302	7063	7944	2.38E-109	348																																												
A3GEZ0_PICST	NODE_368_32152_cov_14.478002	37.246	639	340	10	1	583	16103	18004	6.11E-119	388																																												
A3GFA7_PICST	NODE_117_89130_cov_13.866847	62.169	415	153	3	1	413	73465	74703	2.49E-177	552																																												
A3GFB2_PICST	NODE_24_168725_cov_14.737185	26.778	239	121	7	249	448	115417	114746	1.19E-17	87.8																																												
A3GGB7_PICST	NODE_70_117556_cov_13.971685	43.567	342	181	6	14	349	27198	26191	6.15E-92	303																																												
A3GH04_PICST	NODE_234_53533_cov_14.336704	28.852	610	327	17	65	589	36547	38310	1.19E-67	240																																												
A3GH63_PICST	NODE_193_61615_cov_17.659625	60.147	680	224	5	1	634	8014	5978	0	845																																												
A3GHZ3_PICST	NODE_77_112640_cov_15.584235	53.846	182	77	3	9	183	54	599	1.15E-58	199																																												
A3KLI8_CLAPU	NODE_359_33047_cov_14.312728	50.905	442	191	7	1	418	15324	16643	2.63E-143	404																																												
